Model,Water Body Type,Watershed Size,Watershed Type,Water Body Characteristics,Water Body Size,Dimensions,Simulation Type,Parameters,Model Time Step ,Time Step,Computation requirements,Model Complexity,Simulation Objectives,Data Requirements,Model Availability,Model Limitations,Location,Notes
GLM,Water body,,,"Reservoirs, Lakes","Small, Medium, Large",1D,,"Water Levels, Reservoir Operations,",,"Minutes, hHours",Computational expensive,Complex,"Holistic Simulation, Support reservoir management decisions, Climate Change Studies","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow,",Open source,"Assumes horizontal homogeneity, Simplified Mixing Processes, Dependent on Input Data, No Water Quality",Other,
AGNPS,Watershed,"Small, Medium",Agricultural,,,,Event-based model,"Q, TP, TN ",,Daily,Computational expensive,Simple,"Assessment of Storm events, BMP Evaluations, ","DEM, LULC, Soil, Precipitation, Temperature ",Open source,"Poor prediction of peak flows, Does not support saturated runoff generating areas, Temporally lumped",Other,
AGNPS-VSA,Watershed,"Small, Medium",Agricultural,,,,Event-based model,"Q, TP, TN ",,Daily,Computational expensive,Complex,"Assessment of Storm events, BMP Evaluations, simulate watersheds with variable source areas,","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Requires detailed spatial data, Temporally lumped, Poor prediction of peak flows",Other,Variable Source Area (VSA) integration means the models have been reconceptualized to inlcude saturation excess mechanism in generating runoff. It improves the representation of runoff generation by considering areas within the watershed that contribute more significantly to runoff due to their hydrological characteristics
AnnAGNPS,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,"Computational expensive, user-friendly",Medium,"Holistic Simulation, BMP locations","DEM, LULC, Soil, Precipitation, Temperature",Open source ,"Does not simulate baseflow, Poor sediment simulation, Poor groundwater simulation, Manual calibration, Limited developer and community support, Point source loads are limited to constant loading rates for the entire simulation period, Can not be coupled with optimization algorithm, Does not simulate large watersheds, Does not simulate urban watersheds, Requires numerous parameters and complex calibration",Other,(https://www.ars.usda.gov/southeast-area/oxford-ms/national-sedimentation-laboratory/watershed-physical-processes-research/docs/annagnps-pollutant-loading-model/)
DLEM,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,"Computational expensive, user-friendly",Complex,Holistic Simulation,"DEM, LULC, Soil, Precipitation, Temperature",Open source,"Poor sediment simulation, Can not be coupled with optimization algorithm, Manual calibration, Poor groundwater simulation, Limited developer and community support, Poor simulation of extreme events, Poor simulation of small watersheds",Other,
ELEMeNT-N,Watershed,Medium,"Agricultural, Urban",,,,Continuous model,TN,,Daily,Computational expensive,Medium,"Evaluate legacy Nitrogen, predict nitrogen transport and transformation within a watershed","LULC, N surplus, Soil, ",Not open source,"Limited ability in addressing long-term legacy N dynamics, Sensitive to specific input parameters, Simplified hydrological processes, Simplified biogeochemical processes, Manual calibration, Simulates N Only",Other,
LSPC,Watershed,"Small, Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Hourly,Sub-daily,Computational Expensive,Complex,"Holistic Simulation, TMDL development,  assess the effects of land use change","DEM, LULC, Soil, Precipitation, Temperature, ET, ",Open source,"Does not allow multiple subbasins to connect to a single reach, Poor interactive process between surface and subsurface water, Does not simulate BMPs, Poor sediment simulation, Poor groundwater simulation, Limited developer and community support, Requires numerous parameters and complex calibration",Other,
MapShed,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Monthly,Computational Expensive,Medium,"Holistic Simulation, TMDL development, BMP Evaluations, Watershed management","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Limited crop differentiation, Poor channel/river routing, Manual calibration, Poor sediment simulation, Poor groundwater simulation, Can not be coupled with optimization algorithm, Limited applications in urban watersheds",Other,
AVGWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Medium Complex,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Monthly nutrient load outputs, Poor groundwater simulation, Manual calibration, Can not be coupled with optimization algorithm, Limited applications in urban watersheds",Other,
WASP8,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Small, Medium, Large","1D, 2D, 3D",,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, Sediment Transport",,"Hours, Daily",Computational Expensive,Complex,"Holistic Simulation, TMDL development, management of eutrophication and algal blooms, Modeling the transport and transformation of pollutants, Climate Change Studies, ","Temperature, Wind speed, Solar radiation, Flow, Water quality, DO, Algae, Sediment characteristics",Open source,"Extensive datasets, Simplified representation of complex biogeochemical processes, Poor simulation of suspended solids, Does not consider specific algae species, Does not deal with NPS pollution, No provision for developing TMDLs, Sensitive to specific input parameters, Dependent on Input Data",Other,
Mike Basin,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN",Daily,Daily,Computational Expensive,Complex,"Holistic Simulation, Climate Change Studies, Watershed management   ","DEM, LULC, Precipitation, Temperature",Not open source,"Lacks optimization procedures for reservoir operation, Poor sediment simulation, Limited developer and community support, Manual calibration, Large spatial resolution",Other,Former name of MIKE HYDRO
MIKE21,Water body,,,"Coastal, Estuarine, Lakes, Reservoirs","Small, Medium, Large",2D,,"Water levels, Sediment Transport, DO, phosphorus, nitrogen, Temperature, Salinity,  ",,"Seconds, Minutes",Computational Expensive,Complex,"Holistic Simulation, Storm Surge analysis, Floodplain Mapping, assess sediment and nutrient transport, Environmental Impact Assessments, ","Bathymetric data, Precipitation, ET, Wind Speed, Water quality, Flow, ",Not open source,"Simplified vertical stratification, Grid dependency can affect accuracy, Topography data may require preprocessing",Other,
GWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Monthly,Monthly,Medium Complex,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Precipitation, Temperature, Soil, ",Open source,"Poor groundwater simulation, Manual calibration, Can not be coupled with optimization algorithm, Limited applications in urban watersheds, Lacks the conception of subbasin, Not user friendly, Empirical water quality simulations, Poor channel/river routing",Other,"The Generalized Watershed Loading Function (GWLF) and ArcView Generalized Watershed Loading Function (AVGWLF) are closely related models, with AVGWLF being a GIS-enhanced version of the original GWLF model."
RGWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,"Medium Complex
Model (Easier to use than SWAT, HSPF (Yuan et al., 2020))",Medium,"Holistic Simulation, TMDL development","DEM, LULC, Precipitation, Temperature, Soil, ",Open source,"Poor groundwater simulation, Manual calibration, Can not be coupled with optimization algorithm, Limited applications in urban watersheds, Lacks the conception of subbasin, Not user friendly, Empirical P simulations, Poor channel/river routing",Other,"In Conclusion:
GWLF is the simplest version, with no GIS integration, making it labor-intensive and harder to use for spatially explicit analysis.
AVGWLF improves upon GWLF by integrating with ArcView GIS, offering better spatial analysis and visualization tools but still reliant on older technology.
RGWLF is the most advanced, built for modern GIS platforms (ArcGIS, QGIS), and offers significant improvements in ease of use, simulation capabilities, and support, making it the most flexible and powerful version of the model for contemporary watershed management."
SSHBS,Water body,,,"Streams, ",Small,1D,,"Q, TP, TN, Sediment Transport, algae",,Sub-daily,Computational expensive,Medium,"Evaluate hydrological and biogeochemical interactions in small streams, Evaluate nutrient and carbon fluxes in stream networks","Flow, River reach characteristics, DO, Temperature, Sediment characteristics",Open source,"Limited applications in the USA, Empirical water quality simulations, Limited to small stream networks, Requires high resolution grids, Simplified biogeochemical processes",Other,
APEX,Watershed,Small,"Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational expensive,Complex,"Holistic Simulation, BMP Evaluations, ","LULC, Soil, Precipitation, Temperature",Open source,"Field scale model, Poor groundwater simulation, Does not simulate large watersheds, Manual calibration, Can not be coupled with optimization algorithm, Sensitive to specific input parameters",Other,The APEX model is based on the EPIC model. It includes EPIC functions and was developed to extend the capability of the EPIC model (Sharpley and Williams 1990).
SWAT - MODFLOW,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational expensive,Complex,"Holistic Simulation, TMDL development, Watershed management, BMP locations, Evaluate groundwater nutrient dynamics,  ","DEM, LULC, Soil, Precipitation, Temperature, Wind speed, Solar radiation, Relative humidity, Hydraulic conductivity, Specific storage, Specific yield, Porosity",Open source,"Extensive datasets, Requires high computational resources, Does not account for nitrate transport in the vadose zone, Requires numerous parameters and complex calibration",Other,"a new coupled model, the so–called SWAT–MODFLOW, has fully coupled SWAT with the groundwater flow model “MODFLOW” to accurately simulate and improve the groundwater component."
"SWAT 

",Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational Expensive,Complex,"Holistic Simulation, TMDL development, Watershed management, BMP locations","DEM, LULC, Soil, Precipitation, Temperature, Wind, Solar radiation, Relative humidity",Open source,"Poor groundwater simulation, Poor sediment simulation, Requires numerous parameters and complex calibration",Other,
HSPF,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN ",Hourly,"Sub-daily, Daily",Computational Expensive,Complex,"Holistic Simulation, Watershed management, TMDL development, BMP locations","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Does not simulate physical characteristics of BMPs, Manual calibration, Not user friendly, Sensitive to specific input parameters",Other,FORTRAN
SWAT-MODFLOW-RT3D,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",,Daily,Computational expensive,Complex,"Holistic Simulation, TMDL development, Watershed management, BMP locations, Evaluate groundwater nutrient dynamics, Understanding contaminant transport through surface and subsurface systems ","DEM, LULC, Soil, Precipitation, Temperature, Wind speed, Solar radiation, Relative humidity, Hydraulic conductivity, Specific storage, Specific yield, Porosity",Open source,"Extensive datasets, Requires high computational resources, Does not account for nitrate transport in the vadose zone, Requires numerous parameters and complex calibration",Other,
SWAT+,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",,Daily,Computational expensive,Complex,"Holistic Simulation, TMDL development, Watershed management, BMP locations, Simulating large scale watersheds,",,Open source,"Limited applications for representing hydrological consequences of climate change, Poor groundwater simulation",Other,"• QSWAT+, a QGIS interface for setting up your watershed (SWAT, n.d.)
• SWAT+ Editor, a user interface for modifying SWAT+ inputs and running the model (SWAT, n.d.)"
SWMM,Watershed,"Small, Medium",Urban,,,,"Event-based model, Continuous model","Q, TP, TN, TSS",Hourly,Sub-daily,Computation Expensive,Medium,"Urban stormwater management and flood control, developing TMDL, Evaluate BMP and low impact development stormwater controls, evaluate combined and sanitary sewer overflows, assess the effects of land use change, evaluate water quality improvement","DEM, LULC, Soil, Precipitation, Temperature, Sewer networks, ","Open source
(https://www.epa.gov/water-research/storm-water-management-model-swmm)","Requires high computational resources to be coupled with GA optimization, Does not simulate small outlets loss directly, Limited to urban watersheds, Simplified Bottom seepage simulation, Not user friendly, Manual calibration, Model expertise",Other,
PCSWMM,Watershed,"Small, Medium",Urban,,,,"Event-based model, Continuous model","Q, TP, TN, TSS",Hourly,Sub-daily,Computational expensive,Complex,"Urban stormwater management and flood control, developing TMDL, Evaluate BMP and low impact development stormwater controls, evaluate combined and sanitary sewer overflows, assess the effects of land use change, evaluate water quality improvement","DEM, LULC, Soil, Precipitation, Temperature, Sewer networks, ",Not open source,"Difficulty in verifying LID component for modeling bioretention cells, Does not simulate small outlets loss directly, Limited to urban watersheds, Simplified Bottom seepage simulation, Requires numerous parameters and complex calibration",Other,
TETIS - N,Watershed,"Small, Medium, Large",Agricultural,,,,Continuous model,"Q, TN",Daily,Daily,Computational Expensive,Complex,"Holistic Simulation, BMP Evaluations, Assessing nitrogen pollution in watersheds, evaluate water quality improvement","DEM, LULC, Soil, Precipitation, Temperature, Sediment characteristics",Not open source,"Does not simulate P, Limited applications in the USA, Grid dependency can affect accuracy, Extensive datasets, Requires numerous parameters and complex calibration
",Other,
WAM,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational Expensive,Complex,"Holistic Simulation, BMP locations, BMP Evaluations, Watershed management, assess the effects of land use change, Climate Change Studies","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Manual calibration, Poor groundwater simulation, Poor sediment simulation, Can not be coupled with optimization algorithm, Limited to Florida terrain",Florida,
GSSHA ,Watershed,Small,"Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Hourly,Sub-daily,"Computational expensive (more intense than SWMM) (Moore et al., 2017)",Complex,"Holistic Simulation, Extreme events evaluation, flood risk assessment, evaluate storm events, assess the effects of urbanization, ","DEM, LULC, Soil, Precipitation, Temperature, Stream network,",Not open source,"Requires high computational resources, Model expertise, Requires high resolution grids, Model unstability with larger time steps, Limitations in storm sewer pipes simulation and calibration",Other,GSSHA is better for event-based simulations than for long-term simulations
EFDC,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Medium, Large","1D, 2D, 3D",,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS, Salinity,  ",,"Seconds, Minutes, Hours",Computational expensive,Complex,"Holistic Simulation, evaluate ecological restoration projects, Predict the effects of natural and anthropogenic changes on water quality, Modeling the transport and transformation of pollutants, ","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow, Water quality, DO, Algae, Sediment characteristics",Open source,"Does not incorporate Zooplankton, Large spatial resolution, Topography data may require preprocessing, Model Expertise, Not user friendly, Extensive datasets",Other,
WEPP-WQ,Watershed,Small,Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational expensive,Medium,"Holistic Simulation, BMP Evaluations, assess the effects of land use change, Climate Change Studies, Assess erosion variability due to management practices, ","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Poor nitrate simulation, Poor groundwater simulation, Extensive datasets",Other,WEPP-WQ could potentially be used to simulate detailed VFS and BMP processes and impacts.
CE-QUAL-W2,Water body,,,"Reservoirs, Lakes, Estuarine","Small, Medium",2D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS ",,"Seconds, Minutes, Hours",Computational expensive,Complex,"Holistic Simulation, Support reservoir management decisions, Predict the effects of natural and anthropogenic changes on water quality, TMDL development, Climate Change Studies","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow, Water quality, DO, Algae, Sediment characteristics","Open source
(www.ce.pdx.edu/w2)","Does not consider specific algae species, Assumes horizontal homogeneity, Requires high computational resources, Hydrostatic assumption for vertical momentum equation, Algal processes are oversimplifed, Does not incorporate Zooplankton, Does not incorporate SOD, Model Expertise",Other,
SimplyP,Watershed,"Small, Medium",Agricultural,,,,Continuous model,"Q, TP, TSS",Daily,Daily,No need for a high-end computer.,Simple,"Holistic Simulation, assessing phosphorus loss from agricultural lands, BMP Evaluations, ","LULC, Soil, Precipitation, Temperature, ET",Open source,"Manual calibration, Simplified soil P processes, Simplified hydrological processes, Poor sediment simulation, Simplified biogeochemical processes, Does not simulate N, Limited applications in urban watersheds",Other,
Delft3D FM,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Small, Medium, Large",3D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS, Salinity, wave parameters, ",,"Seconds, Minutes, Hours",,Complex,"Holistic Simulation, sustainable water resource management, flood risk assessment, Support navigation, evaluate ecological restoration projects, modeling of complex domains, Climate Change Studies, ","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow, Water quality, DO, Algae, Sediment characteristics",Open Source,"GUI is not open source, Requires high computational resources, Model Expertise, Limitations in Biological Processes, Extensive datasets",Other,
Delft3D,Water body ,,,"Coastal, Estuarine, Rivers, Lakes","Small, Medium, Large",3D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS, Salinity, wave parameters, ",,"Seconds, Minutes, Hours",Computational expensive,Complex,"Holistic Simulation, sustainable water resource management, flood risk assessment, Support navigation, evaluate ecological restoration projects, Climate Change Studies, ",,Open source (https://oss.deltares.nl/web/delft3d/get-started),"GUI is not open source, Requires high computational resources, Model Expertise, Limitations in Biological Processes, Extensive datasets, Structured grids",Other,
CBP-WSM (Chesapeake Bay Program Watershed Model),Watershed,,,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational expensive,Complex,"Holistic Simulation, TMDL development, BMP Evaluations ","LULC, Soil, Precipitation, Temperature",Not open source,"Spatial limitations of the WSM preclude edge of field scale representation of phosphorus (P) losses, Loads modeled by scenarios with MP effects are always lower than the alternative scenario because the CBPWSM assigns a load reduction credit to each MP, CBPWSM does not model lag times, limited to the Chesapeake Bay Watershed",Chesapeake Bay Watershed,
L-THIA,Watershed,"Small, Medium",Urban,,,,Continuous model,"Q, TP, TN",Annual,Annual,"Simple model (Yuan et al., 2020). No need for a high-end computer.",Simple,"Screening Simulation, BMP Evaluations, assess the effects of land use change, Climate Change Studies","DEM, LULC, Soil, Precipitation",Open source,"Limited to urban watersheds, Does not simulate large watersheds, Simplified hydraulic processes, Simplified hydrological processes, Simplified representation of nutrient dynamics",Other,
DHSVM,Watershed,"Small, Medium",Urban,,,,Continuous model,Q,Daily,Daily,Computational expensive,Complex,"Holistic Simulation, Climate Change Studies,  assess the effects of land use change, Understanding hydrological dynamics in snow-dominated regions, ","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Manual calibration, Poor groundwater simulation, Limited to urban watersheds, Limited developer and community support",Other,"DHSVM is a fully distributed process?based hydrological model, but it does not include processes related to environmental biogeochemical components such as those related to NPS pollutants. Parameters of
DHSVM?N include those used in the original DHSVM for the hydrologic modeling processes and those in SWAT
for the biogeochemical modeling processes. The integration of SWAT's biogeochemical processes into DHSVM involves extensive and substantial changes to the original DHSVM model."
GBNP,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational expensive,Medium,"Holistic Simulation, NPS nutrient loads evaluation, Watershed management, Erosion analysis","DEM, LULC, Soil, Precipitation, Temperature, Geomorphic parameters",Not open source,"Simplified biogeochemistry interaction between the atmosphere and the land surface, Does not simulate specific agricultural and urban pollution inputs, Extensive datasets, Accuracy decreases with higher trophic levels, Cannot simulate changes in aquatic ecosystem dynamics",Other,
InfoWorks ICM,Watershed,Small,Urban,,,,Event-based model,"Q, TP, TN, TSS",Minutes,Sub-daily,Computational expensive,Complex,"Urban stormwater management and flood control, Climate Change Studies,","DEM, LULC, Hydraulic data, Precipitation, Temperature",Not open source,"Simplified representation of nutrient dynamics, Limited to urban watersheds, Model expertise, Simplified hydrological processes",Other,
MIKE 21 FM,Water body,,,"Coastal, Estuarine, Lakes, Reservoirs","Small, Medium, Large",2D,,"Water levels, Sediment Transport, DO, phosphorus, nitrogen, Temperature, Salinity,  ",,"Seconds, Minutes",Computational expensive,Complex,"Holistic Simulation, Storm Surge analysis, Floodplain Mapping, assess sediment and nutrient transport, Environmental Impact Assessments, ","Bathymetric data, Precipitation, ET, Wind Speed, Water quality, Flow, ",Not open source,"Simplified vertical stratification, Topography data may require preprocessing",Other,
GPUOM-WQ,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Medium, Large",3D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, TDS, Salinity,  ",,"Seconds, Minutes",Computational expensive,Complex,"Holistic Simulation, Predict the effects of natural and anthropogenic changes on water quality, evaluate ecological restoration projects, Pollutant Transport, Coastal and Estuarine Hydrodynamics, Climate Change Studies,    ","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow, Water quality, DO, Algae, Sediment characteristics",Not open source,"Requires high computational resources, Model Expertise, Extensive datasets, Accuracy decreases with higher trophic levels, Limited developer and community support",Other,
WEP-N ,Watershed,"Small, Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TN",Daily,Daily,Computational expensive,Complex,"Evaluate nitrogen loads in cold regions, Climate Change Studies, Watershed management","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"Requires numerous parameters and complex calibration, Limited to cold regions, Does not simulate P, Limited developer and community support",Other,
MIKE SHE,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Computational expensive,Complex,"Watershed management, flood and drought management, evaluate water quality improvement, Climate Change Studies, assess the effects of land use change ","DEM, LULC, Soil, Precipitation, ET, Temperature, ",Not open source,"Extensive datasets, High uncertainty, Lumped model, Simplified hydraulic processes, Model expertise, Requires numerous parameters and complex calibration",Other,
MIKE11,Water body ,,,"Rivers, Streams","Small, Medium, Large",1D,,"Q, Water levels, Sediment Transport, DO, phosphorus, nitrogen, Temperature,  ",,"Hours, Daily",User-friendly,Medium,"Floodplain Mapping, Support reservoir management decisions,  assess sediment and nutrient transport, ","River reach characteristics, Flow, Precipitation, ET, Sediment characteristics, Hydraulic data",Not open source,"Cannot model supercritical flow, Cannot fully capture lateral floodplain interactions, Assumes channel slope is equal to zero, Dependent on Input Data, Extensive datasets, Does not incorporate wind effects,  Does not incorporate urban drainage, Does not consider secondary currents, Neglects bank erosion processes, Limited applications in simulating chemical dynamics",Other,
MIKE HYDRO River,Water body,,,"Rivers, Streams","Small, Medium, Large",1D,,"Q, Water levels, Sediment Transport, DO, phosphorus, nitrogen, Temperature,  ",,"Hours, Daily",Low computation,Medium,"Floodplain Mapping, Support reservoir management decisions,  assess sediment and nutrient transport, hydropower optimization","River reach characteristics, Flow, Precipitation, ET, Sediment characteristics, Hydraulic data",Not open source,"Cannot fully capture lateral floodplain interactions, Runs a fully hydrodynamic simulation, Extensive datasets, Requires numerous parameters and complex calibration",Other,"MIKE HYDRO River is the successor to the MIKE 11 (DHI, 2018)."
QUAL2K,Water body,,,Rivers,"Small, Medium",1D,,"Flow velocity, Temperature, DO, Phosphorus, Nitrogen, algae, ",,"Minutes, Hours",Low computation,Simple,"Holistic Simulation, TMDL development, management of eutrophication and algal blooms, ","Flow, Solar radiation, Temperature, Wind speed, Water quality, River reach characteristics, ",Open source,"Steady state conditions, Fixed internal structure, Does not incorporate Zooplankton, Limited to main stream simulation, Sensitive to specific input parameters, Manual calibration, Extensive datasets, Limited sediment transport modeling",Other,
QUAL2Kw,Water body,,,Rivers,"Small, Medium",1D,,"Flow velocity, Temperature, DO, Phosphorus, Nitrogen, algae, ",,"Minutes, Hours",,Medium,"Holistic Simulation, TMDL development, management of eutrophication and algal blooms, ","Flow, Solar radiation, Temperature, Wind speed, Water quality, River reach characteristics, ",Open source,"Limited model flexibility for internal modifications, Does not incorporate Zooplankton, Limited to main stream simulation, Sensitive to specific input parameters, Extensive datasets, Limited sediment transport modeling",Other,
THMB,Watershed,Large,Agricultural,,,,Continuous model,"Q, TN, TP, TSS",Hourly,Sub-daily,Computational expensive,Complex,"Holistic Simulation, Large-scale hydrologic modeling, Floodplain Mapping, Climate Change Studies, Nutrient load assessment","DEM, LULC, Soil, ET, Flow, Precipitation, Temperature",Open source,"Large spatial resolution, Fixed internal structure, Dependent on input data, Limited backwater flooding simulations, Does not simulate vegetation or forest changes",Other,"The THMB is a macro-scale water routing model that simulates transport and water storage
in the terrestrial hydrological system, including rivers, wetlands, lakes and
reservoirs. formerly known as HYDRA"
DYRESM–CAEDYM,Water body,,,"Reservoirs, Lakes","Small, Medium",1D,,"Water Levels, Phosphorus, Nitrogen, algae, Chla, Salinity, ",,"Seconds, Minutes, Hours",Computational expensive,Complex,"Holistic Simulation, Predict the effects of natural and anthropogenic changes on water quality, management of eutrophication and algal blooms, Optimizing reservoir releases to manage downstream temperature and water quality, Algal Bloom Predictions, Water Supply Management","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow, Water quality, DO, Algae, Sediment characteristics",Not open source,"Assumes horizontal homogeneity, Extensive datasets, Does not consider specific algae species, Requires high computational resources, Calibration Complexity, Simplified Biological Processes, Not suitable for shallow systems, Accuracy decreases with higher trophic levels",Other,
PCLake,Water body,,,"Lakes, Reservoirs","Small, Medium",1D,,"TP, TN, algae, TDS",,Daily,Computational expensive (intermediate level of complexity),Medium,"Holistic Simulation, management of eutrophication and algal blooms, Climate Change Studies","Solar radiation, Temperature, Wind speed, Precipitation, Flow, Water quality",Open source,"Limited applications in subtropical regions, Assumes horizontal homogeneity, Limited developer and community support, Limited hydrodynamics, Requires numerous parameters and complex calibration",Other,"Janse et al., 2014 developed a metamodel for PCLake.

Janssen et al., 2019 developed PCLake+ model."
PDP,Watershed,"Small, Medium",Agricultural,,,,Continuous model,"Q, TP",Daily,Daily,,Simple,understanding and managing phosphorus fluxes within polder systems,"LULC, Precipitation, Temperature",Open Source,"Limited developer and community support, Requires numerous parameters and complex calibration, Limited to polder systems, Does not simulate N",Other,
NDP,Watershed,"Small, Medium",Agricultural,,,,Continuous model,"Q, TN",Daily,Daily,,Simple,understanding and managing nitrogen fluxes within polder systems,"LULC, Precipitation, Temperature",Open Source,"Limited developer and community support, Requires numerous parameters and complex calibration, Limited to polder systems, Does not simulate P",Other,
WARMF,Watershed,"Small, Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,,Complex,"Holistic Simulation, TMDL development, Watershed management","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"Extensive datasets, Requires numerous parameters and complex calibration, Poor groundwater simulation, Model expertise",Other,
EcoHAT,Watershed,"Small, Medium","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,,Complex,"Holistic Simulation, Ecosystem Assessments, Watershed management, flood and drought management, evaluate ecological restoration projects, ","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"Limited applications in the USA, Limited developer and community support, Extensive datasets, Limited ecohydrological processes",Other,
INCA,Watershed,"Small, Medium","Agricultural, Urban",,,,Continuous model,"Q, TP, TN",Daily,Daily,,Medium,"Holistic Simulation, Climate Change Studies, assess the effects of land use change, NPS nutrient loads evaluation, TMDL development, BMP Evaluations","LULC, Precipitation, Temperature, Soil, ET",Not open source,"High uncertainty, Semi-distributed model, Poor groundwater simulation, Extensive datasets, Simplified soil P processes, Limited applications in the USA",Other,https://incamodels.org/
FVCOM,Water body,,,"Coastal, Estuarine, Oceans, Lakes","Medium, Large",3D,,"Water Levels, tidal and wave parameters, Sediment Transport, Phosphorus, Nitrogen, DO, salinity, Primary production and plankton dynamics,",,"Seconds, Minutes",,Complex,"Holistic Simulation, Coastal and Estuarine Hydrodynamics, Flood Risk Assessment, Wave-Current Interaction","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow, Water quality, DO, Sediment characteristics",Open Source,"Requires high computational resources, Extensive datasets, Model Expertise, Non-commercial purposes only, Struggles with small-scale local flows, Inaccurate seasonal & decadal and climate projections",Other,
SEAWAT-MODFLOW,,,,,,,,,,,,,,,,,Other,
SUSTAIN,Watershed,"Small, Medium",Urban,,,,Continuous model,"Q, TP, TN, TSS",Hourly,Sub-daily,,Complex,"Holistic Simulation, TMDL development, evaluate green infrastructure implementation, BMP cost estimation ","DEM, LULC, Soil, Precipitation, Temperature, Wind speed",Open source,"Manual calibration, Poor groundwater simulation, Does not simulate large watersheds",Other,
GBR Dynamic Sednet,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",,Daily,Medium,Medium,"Holistic Simulation, Watershed management to reduce sediment and nutrient loads entering the Great Barrier Reef, assess sediment and nutrient transport,  ","DEM, LULC, Soil, Precipitation, Temperature",Not open source,"Poor sediment simulation, Simplified representation of nutrient dynamics, Limited applications in urban watersheds, Sensitive to specific input parameters, Limited to the Great Barrier Reef",The Great Barrier Reef,
